Abbey Wood,ABW,"['London, UK', 22683.0, 2303.0]"
Acton Central,ACC,"['London, UK', 12802.0, 1231.0]"
Acton Main Line,AML,"['London, UK', 13484.0, 1208.0]"
Addlestone,ASN,"['London, UK', 45387.0, 2843.0]"
Alexandra Palace,AAP,"['London, UK', 12080.0, 1487.0]"
Amersham,AMR,"['London, UK', 46101.0, 3159.0]"
Anerley,ANZ,"['London, UK', 14107.0, 1672.0]"
Angel Road,AGR,"['London, UK', 16062.0, 1825.0]"
Apsley,APS,"['London, UK', 46005.0, 2947.0]"
Ascot (Berks),ACT,"['London, UK', 49475.0, 3328.0]"
Ashford (Surrey),AFS,"['London, UK', 30116.0, 2419.0]"
Ashtead,AHD,"['London, UK', 31242.0, 2864.0]"
Balham,BAL,"['London, UK', 9403.0, 1088.0]"
Banstead,BAD,"['London, UK', 25361.0, 2628.0]"
Barbican,ZBB,"['London, UK', 2967.0, 461.0]"
Barking,BKG,"['London, UK', 17470.0, 1583.0]"
Barking Underground,ZBK,"['London, UK', 19021.0, 1582.0]"
Barnehurst,BNH,"['London, UK', 26837.0, 2316.0]"
Barnes Bridge,BNI,"['London, UK', 11295.0, 1390.0]"
Bat & Ball,BBL,"['London, UK', 45866.0, 3215.0]"
Battersea Park,BAK,"['London, UK', 4645.0, 574.0]"
Bayford,BAY,"['London, UK', 35954.0, 3453.0]"
Beaconsfield,BCF,"['London, UK', 42852.0, 2754.0]"
Beckenham Hill,BEC,"['London, UK', 15743.0, 1761.0]"
Beckenham Junction,BKJ,"['London, UK', 17393.0, 1878.0]"
Belvedere,BVD,"['London, UK', 23244.0, 2466.0]"
Berrylands,BRS,"['London, UK', 21191.0, 2093.0]"
Betchworth,BTO,"['London, UK', 35920.0, 3383.0]"
Bethnal Green,BET,"['London, UK', 5451.0, 787.0]"
Bexley,BXY,"['London, UK', 24579.0, 2143.0]"
Bexleyheath,BXH,"['London, UK', 23447.0, 2129.0]"
Bickley,BKL,"['London, UK', 21662.0, 2270.0]"
Birkbeck,BIK,"['London, UK', 14704.0, 1747.0]"
Blackhorse Road,BHO,"['London, UK', 14078.0, 1655.0]"
Bookham,BKA,"['London, UK', 40354.0, 3266.0]"
Borough Green & Wrotham,BRG,"['London, UK', 44837.0, 2998.0]"
Bowes Park,BOP,"['London, UK', 14010.0, 1698.0]"
Brentford,BFD,"['London, UK', 14609.0, 1496.0]"
Brentwood,BRE,"['London, UK', 47501.0, 2975.0]"
Bricket Wood,BWO,"['London, UK', 34492.0, 2429.0]"
Brimsdown,BMD,"['London, UK', 20567.0, 2207.0]"
Brixton,BRX,"['London, UK', 7011.0, 856.0]"
Brockley,BCY,"['London, UK', 10045.0, 1152.0]"
Bromley North,BMN,"['London, UK', 18810.0, 2070.0]"
Bromley South,BMS,"['London, UK', 19671.0, 2150.0]"
Brondesbury,BSY,"['London, UK', 9736.0, 1146.0]"
Brondesbury Park,BSP,"['London, UK', 8661.0, 1060.0]"
Brookmans Park,BPK,"['London, UK', 31063.0, 2708.0]"
Broxbourne,BXB,"['London, UK', 30555.0, 3178.0]"
Bruce Grove,BCV,"['London, UK', 12708.0, 1500.0]"
Burnham (Bucks),BNM,"['London, UK', 41452.0, 2557.0]"
Bush Hill Park,BHK,"['London, UK', 19435.0, 2124.0]"
Bushey,BSH,"['London, UK', 27005.0, 2572.0]"
Byfleet & New Haw,BFN,"['London, UK', 38463.0, 2923.0]"
Caledonian Rd & Barnsbury,CIR,"['London, UK', 5432.0, 744.0]"
Cambridge Heath,CBH,"['London, UK', 6256.0, 898.0]"
Camden Road,CMD,"['London, UK', 4861.0, 693.0]"
Canada Water,ZCW,"['London, UK', 6721.0, 835.0]"
Canonbury,CNN,"['London, UK', 5793.0, 895.0]"
Carpenders Park,CPK,"['London, UK', 29717.0, 2931.0]"
Carshalton,CSH,"['London, UK', 19581.0, 2149.0]"
Carshalton Beeches,CSB,"['London, UK', 21601.0, 2418.0]"
Castle Bar Park,CBP,"['London, UK', 20301.0, 1775.0]"
Caterham,CAT,"['London, UK', 29333.0, 3004.0]"
Catford,CTF,"['London, UK', 13018.0, 1425.0]"
Catford Bridge,CFB,"['London, UK', 13341.0, 1510.0]"
Chadwell Heath,CTH,"['London, UK', 23568.0, 2093.0]"
Chafford Hundred Lakeside,CFH,"['London, UK', 34512.0, 2334.0]"
Chalfont & Latimer,CFO,"['London, UK', 48910.0, 2952.0]"
Cheam,CHE,"['London, UK', 20782.0, 2293.0]"
Chelsfield,CLD,"['London, UK', 28845.0, 2725.0]"
Chertsey,CHY,"['London, UK', 45522.0, 2844.0]"
Cheshunt,CHN,"['London, UK', 26278.0, 2758.0]"
Chessington North,CSN,"['London, UK', 24787.0, 2291.0]"
Chessington South,CSS,"['London, UK', 25311.0, 2326.0]"
Chingford,CHI,"['London, UK', 22522.0, 2418.0]"
Chipstead,CHP,"['London, UK', 25661.0, 2710.0]"
Chislehurst,CIT,"['London, UK', 20227.0, 2126.0]"
Chiswick,CHK,"['London, UK', 10774.0, 1142.0]"
Chorleywood,CLW,"['London, UK', 45529.0, 2708.0]"
City Thameslink,CTK,"['London, UK', 1703.0, 264.0]"
Clandon,CLA,"['London, UK', 44861.0, 3151.0]"
Clapham Junction,CLJ,"['London, UK', 7630.0, 891.0]"
Claygate,CLG,"['London, UK', 27056.0, 2337.0]"
Clock House,CLK,"['London, UK', 15561.0, 1789.0]"
Cobham & Stoke d'Abernon,CSD,"['London, UK', 33988.0, 2765.0]"
Cookham,COO,"['London, UK', 47877.0, 3122.0]"
Coulsdon South,CDS,"['London, UK', 24380.0, 2545.0]"
Coulsdon Town,CDN,"['London, UK', 23899.0, 2483.0]"
Crayford,CRY,"['London, UK', 26414.0, 2293.0]"
Crews Hill,CWH,"['London, UK', 25271.0, 2677.0]"
Cricklewood,CRI,"['London, UK', 9603.0, 1170.0]"
Crofton Park,CFT,"['London, UK', 11143.0, 1238.0]"
Crystal Palace,CYP,"['London, UK', 12226.0, 1453.0]"
Cuffley,CUF,"['London, UK', 28503.0, 2902.0]"
Cuxton,CUX,"['London, UK', 49607.0, 3076.0]"
Dagenham Dock,DDK,"['London, UK', 24605.0, 1858.0]"
Dalston Junction,DLJ,"['London, UK', 6870.0, 941.0]"
Dalston Kingsland,DLK,"['London, UK', 7300.0, 1008.0]"
Dartford,DFD,"['London, UK', 29638.0, 2598.0]"
Datchet,DAT,"['London, UK', 33635.0, 2329.0]"
Denham,DNM,"['London, UK', 30945.0, 2195.0]"
Denham Golf Club,DGC,"['London, UK', 32827.0, 2314.0]"
Denmark Hill,DMK,"['London, UK', 6481.0, 798.0]"
Deptford,DEP,"['London, UK', 9022.0, 1064.0]"
Dorking Deepdene,DPD,"['London, UK', 39832.0, 3595.0]"
Dorking (Main),DKG,"['London, UK', 40622.0, 3419.0]"
Dorking West,DKT,"['London, UK', 41851.0, 3532.0]"
Dormans,DMS,"['London, UK', 45810.0, 4008.0]"
Drayton Green,DRG,"['London, UK', 20408.0, 1787.0]"
Drayton Park,DYP,"['London, UK', 6675.0, 910.0]"
Dunton Green,DNG,"['London, UK', 37020.0, 3330.0]"
Ealing Broadway,EAL,"['London, UK', 18295.0, 1746.0]"
Earlsfield,EAD,"['London, UK', 11176.0, 1260.0]"
Earlswood (Surrey),ELD,"['London, UK', 35722.0, 3526.0]"
East Croydon,ECR,"['London, UK', 18103.0, 2037.0]"
East Dulwich,EDW,"['London, UK', 9670.0, 1143.0]"
East Grinstead,EGR,"['London, UK', 49097.0, 4199.0]"
East Tilbury,ETL,"['London, UK', 46790.0, 2948.0]"
Ebbsfleet International,EBD,"['London, UK', 37598.0, 2596.0]"
Eden Park,EDN,"['London, UK', 18334.0, 2116.0]"
Edmonton Green,EDR,"['London, UK', 17957.0, 2011.0]"
Effingham Junction,EFF,"['London, UK', 39815.0, 3010.0]"
Egham,EGH,"['London, UK', 36953.0, 2525.0]"
Elephant & Castle,EPH,"['London, UK', 3529.0, 449.0]"
Elephant & Castle (Underground),ZEL,"['London, UK', 3536.0, 451.0]"
Elmers End,ELE,"['London, UK', 16013.0, 1877.0]"
Elmstead Woods,ESD,"['London, UK', 19591.0, 2046.0]"
Elstree & Borehamwood,ELS,"['London, UK', 23188.0, 2224.0]"
Eltham,ELW,"['London, UK', 15696.0, 1774.0]"
Emerson Park,EMP,"['London, UK', 29204.0, 2686.0]"
Enfield Chase,ENC,"['London, UK', 19677.0, 2304.0]"
Enfield Lock,ENL,"['London, UK', 22766.0, 2415.0]"
Enfield Town,ENF,"['London, UK', 19814.0, 2265.0]"
Epsom Downs,EPD,"['London, UK', 29237.0, 2686.0]"
Epsom (Surrey),EPS,"['London, UK', 27227.0, 2539.0]"
Erith,ERH,"['London, UK', 27288.0, 2562.0]"
Esher,ESH,"['London, UK', 27932.0, 2445.0]"
Essex Road,EXR,"['London, UK', 5863.0, 773.0]"
Ewell East,EWE,"['London, UK', 25885.0, 2392.0]"
Ewell West,EWW,"['London, UK', 25443.0, 2374.0]"
Eynsford,EYN,"['London, UK', 33877.0, 2924.0]"
Falconwood,FCN,"['London, UK', 17802.0, 1872.0]"
Farningham Road,FNR,"['London, UK', 33447.0, 2785.0]"
Farringdon,ZFD,"['London, UK', 2331.0, 346.0]"
Feltham,FEL,"['London, UK', 27593.0, 2289.0]"
Finchley Road & Frognal,FNY,"['London, UK', 10076.0, 1203.0]"
Finsbury Park,FPK,"['London, UK', 8124.0, 986.0]"
Ford,FOD,"['London, UK', 11411.0, 1338.0]"
Forest Gate,FOG,"['London, UK', 13035.0, 1435.0]"
Garston (Hertfordshire),GSN,"['London, UK', 31164.0, 2363.0]"
Gatwick Airport,GTW,"['London, UK', 45727.0, 3564.0]"
Gerrards Cross,GER,"['London, UK', 34997.0, 2370.0]"
Gidea Park,GDP,"['London, UK', 29086.0, 2628.0]"
Gipsy Hill,GIP,"['London, UK', 11532.0, 1383.0]"
Godstone,GDN,"['London, UK', 33037.0, 3174.0]"
Goodmayes,GMY,"['London, UK', 22246.0, 1891.0]"
Gordon Hill,GDH,"['London, UK', 21041.0, 2485.0]"
Gospel Oak,GPO,"['London, UK', 6758.0, 928.0]"
Gravesend,GRV,"['London, UK', 42389.0, 2895.0]"
Grays,GRY,"['London, UK', 36872.0, 2435.0]"
Green Lane,GNL,"['London, UK', 22380.0, 1903.0]"
Greenford,GFD,"['London, UK', 20044.0, 1683.0]"
Greenhithe,GNH,"['London, UK', 36437.0, 2686.0]"
Greenwich,GNW,"['London, UK', 11155.0, 1276.0]"
Grove Park,GRP,"['London, UK', 15222.0, 1659.0]"
Guildford,GLD,"['London, UK', 49894.0, 3212.0]"
Gunnersbury,GUN,"['London, UK', 12358.0, 1305.0]"
Hackbridge,HCB,"['London, UK', 17933.0, 1990.0]"
Hackney Central,HKC,"['London, UK', 8144.0, 1073.0]"
Hackney Downs,HAC,"['London, UK', 7890.0, 1010.0]"
Hackney Wick,HKW,"['London, UK', 9393.0, 1190.0]"
Hadley Wood,HDW,"['London, UK', 22784.0, 2645.0]"
Hampstead Heath,HDH,"['London, UK', 7695.0, 1031.0]"
Hampton Court,HMC,"['London, UK', 21520.0, 2369.0]"
Hampton (London),HMP,"['London, UK', 23594.0, 2578.0]"
Hampton Wick,HMW,"['London, UK', 21995.0, 2535.0]"
Harlesden,HDN,"['London, UK', 12108.0, 1400.0]"
Harlow Town,HWN,"['London, UK', 49011.0, 3091.0]"
Harold Wood,HRO,"['London, UK', 32461.0, 2815.0]"
Harringay,HGY,"['London, UK', 10606.0, 1269.0]"
Harringay Green Lanes,HRY,"['London, UK', 9956.0, 1193.0]"
Harrow & Wealdstone,HRW,"['London, UK', 23555.0, 2241.0]"
Harrow-on-the-Hill,HOH,"['London, UK', 21291.0, 2004.0]"
Hatch End,HTE,"['London, UK', 30488.0, 2524.0]"
Hatfield (Herts),HAT,"['London, UK', 35522.0, 2847.0]"
Haydons Road,HYR,"['London, UK', 13164.0, 1571.0]"
Hayes & Harlington,HAY,"['London, UK', 23465.0, 1932.0]"
Hayes (Kent),HYS,"['London, UK', 22595.0, 2381.0]"
Headstone Lane,HDL,"['London, UK', 29321.0, 2472.0]"
Heathrow Airport Terminal 4,HAF,"['London, UK', 27408.0, 2174.0]"
Heathrow Airport Terminal 5,HWV,"['London, UK', 32372.0, 2285.0]"
"Heathrow Airport Terminals 1, 2 and 3",HXX,"['London, UK', 27774.0, 2141.0]"
Hemel Hempstead,HML,"['London, UK', 42651.0, 2757.0]"
Hendon,HEN,"['London, UK', 13059.0, 1673.0]"
Herne Hill,HNH,"['London, UK', 7889.0, 934.0]"
Hersham,HER,"['London, UK', 30411.0, 2670.0]"
Hertford East,HFE,"['London, UK', 40254.0, 3358.0]"
Hertford North,HFN,"['London, UK', 47609.0, 3309.0]"
High Street Kensington Underground,ZHS,"['London, UK', 8401.0, 1050.0]"
Higham (Kent),HGM,"['London, UK', 48695.0, 3006.0]"
Highams Park,HIP,"['London, UK', 28674.0, 2158.0]"
Highbury & Islington,HHY,"['London, UK', 5672.0, 786.0]"
Hinchley Wood,HYW,"['London, UK', 25850.0, 2232.0]"
Hither Green,HGR,"['London, UK', 12672.0, 1422.0]"
Holmwood,HLM,"['London, UK', 45512.0, 3970.0]"
Homerton,HMN,"['London, UK', 11411.0, 1338.0]"
Honor Oak Park,HPA,"['London, UK', 12270.0, 1378.0]"
Horley,HOR,"['London, UK', 47701.0, 3740.0]"
Hornsey,HRN,"['London, UK', 10981.0, 1339.0]"
Hounslow,HOU,"['London, UK', 20721.0, 2077.0]"
How Wood (Herts),HWW,"['London, UK', 36513.0, 2625.0]"
Hoxton,HOX,"['London, UK', 5183.0, 703.0]"
Ilford,IFD,"['London, UK', 20369.0, 1741.0]"
Imperial Wharf,IMW,"['London, UK', 7212.0, 864.0]"
Isleworth,ISL,"['London, UK', 16739.0, 1841.0]"
Iver,IVR,"['London, UK', 35646.0, 2647.0]"
Kempton Park Racecourse,KMP,"['London, UK', 25165.0, 2278.0]"
Kemsing,KMS,"['London, UK', 42420.0, 3447.0]"
Kenley,KLY,"['London, UK', 22967.0, 2380.0]"
Kensal Green,KNL,"['London, UK', 10011.0, 1106.0]"
Kensal Rise,KNR,"['London, UK', 10124.0, 1156.0]"
Kensington Olympia,KPA,"['London, UK', 7240.0, 964.0]"
Kent House,KTH,"['London, UK', 15250.0, 1858.0]"
Kentish Town,KTN,"['London, UK', 5565.0, 753.0]"
Kentish Town West,KTW,"['London, UK', 5752.0, 806.0]"
Kew Bridge,KWB,"['London, UK', 12739.0, 1333.0]"
Kew Gardens,KWG,"['London, UK', 14958.0, 1594.0]"
Kidbrooke,KDB,"['London, UK', 13670.0, 1465.0]"
Kilburn High Road,KBN,"['London, UK', 7570.0, 931.0]"
Kings Langley,KGL,"['London, UK', 42196.0, 2868.0]"
Kingston,KNG,"['London, UK', 17512.0, 1900.0]"
Knebworth,KBW,"['London, UK', 47765.0, 3195.0]"
Knockholt,KCK,"['London, UK', 35036.0, 3230.0]"
Ladywell,LAD,"['London, UK', 11571.0, 1322.0]"
Langley (Berks),LNY,"['London, UK', 32957.0, 2367.0]"
Leatherhead,LHD,"['London, UK', 33226.0, 2946.0]"
Lee (London),LEE,"['London, UK', 13526.0, 1494.0]"
